name,category,aliases,display_qty,display_unit,canonical_qty,canonical_unit,nutrients
Tomato,vegetable,tomatoes|tomaat|tomaten,100,g,100,g,Energy:18;Protein:0.9;Carbohydrate:3.9;Sugar:2.6;Dietary Fiber:1.2;Fat:0.2;Potassium:237;Vitamin C:14;Vitamin K:7.9;Folate:15;Vitamin A:42
Cherry Tomato,vegetable,cherry tomatoes|kerstomaat|cherrytomaatjes,100,g,100,g,Energy:18;Protein:0.9;Carbohydrate:3.9;Sugar:2.6;Dietary Fiber:1.2;Fat:0.2;Potassium:237;Vitamin C:14;Vitamin A:42
Cucumber,vegetable,komkommer,100,g,100,g,Energy:15;Protein:0.7;Carbohydrate:3.6;Sugar:1.7;Dietary Fiber:0.5;Fat:0.1;Potassium:147;Vitamin K:16
Carrot,vegetable,carrots|wortel|peen|wortelen,100,g,100,g,Energy:41;Protein:0.9;Carbohydrate:9.6;Sugar:4.7;Dietary Fiber:2.8;Fat:0.2;Potassium:320;Vitamin A:835;Vitamin K:13;Vitamin C:5.9
Broccoli,vegetable,broccoli,100,g,100,g,Energy:34;Protein:2.8;Carbohydrate:6.6;Sugar:1.7;Dietary Fiber:2.6;Fat:0.4;Vitamin C:89;Vitamin K:102;Folate:63;Potassium:316;Calcium:47
Spinach,vegetable,spinazie,100,g,100,g,Energy:23;Protein:2.9;Carbohydrate:3.6;Sugar:0.4;Dietary Fiber:2.2;Fat:0.4;Vitamin K:483;Vitamin A:469;Folate:194;Iron:2.7;Vitamin C:28;Magnesium:79;Potassium:558;Calcium:99
Lettuce,vegetable,sla|kropsla,100,g,100,g,Energy:15;Protein:1.4;Carbohydrate:2.9;Sugar:0.8;Dietary Fiber:1.3;Fat:0.2;Vitamin K:126;Vitamin A:370;Folate:38
Iceberg Lettuce,vegetable,ijsbergsla,100,g,100,g,Energy:14;Protein:0.9;Carbohydrate:3;Sugar:2;Dietary Fiber:1.2;Fat:0.1;Vitamin K:24;Folate:29
Red Bell Pepper,vegetable,red pepper|rode paprika,100,g,100,g,Energy:31;Protein:1;Carbohydrate:6;Sugar:4.2;Dietary Fiber:2.1;Fat:0.3;Vitamin C:128;Vitamin A:157;Vitamin B6:0.29;Folate:46;Potassium:211
Green Bell Pepper,vegetable,green pepper|groene paprika,100,g,100,g,Energy:20;Protein:0.9;Carbohydrate:4.6;Sugar:2.4;Dietary Fiber:1.7;Fat:0.2;Vitamin C:80;Vitamin K:7.4
